NAME	TYPE	RESOURCE GROUP	LOCATION	SUBSCRIPTION	SKU
AzureBackup_LPDCBSERIE_105554548456320	Restore Point Collection	azurebackuprg_eastus_1	East US	BioNuclear Azure CSP	
AzureBackup_ZIMBRA_105554315618100	Restore Point Collection	azurebackuprg_eastus_1	East US	BioNuclear Azure CSP	
rt-bionuclear	Route table	labplus-azure	East US	BioNuclear Azure CSP	
rt-sqlmanagedlabplusonline	Route table	labplus-azure	East US	BioNuclear Azure CSP	
AzureAutomationTutorialWithIdentity (bionuclear/AzureAutomationTutorialWithIdentity)	Runbook	labplus-azure	East US	BioNuclear Azure CSP	
AzureAutomationTutorialWithIdentityGraphical (bionuclear/AzureAutomationTutorialWithIdentityGraphical)	Runbook	labplus-azure	East US	BioNuclear Azure CSP	
lapblus-sendgrid	SaaS	labplus-azure	Global	BioNuclear Azure CSP	Silver
RabbitMQTesting	SaaS	labplus-azure	Global	BioNuclear Azure CSP	Sassy Squirrel x 1
labplus	Service Bus Namespace	labplus-azure	East US	BioNuclear Azure CSP	Basic
6e5af8f1-1aec-46f2-a6bc-3f1cc10ee40b (Personalizado)	Shared dashboard	dashboards	East US	BioNuclear Azure CSP	
9d9baa3d-5f19-4ce6-966d-47af5f574bb9-dashboard (Site20Laboratorio Dashboard)	Shared dashboard	applicationinsights	East US	BioNuclear Azure CSP	
SNAPSHOT-IIS	Snapshot	bionuclear	East US	BioNuclear Azure CSP	
AzureSQLAnalytics(Sql-Managed-Instance-Analytics)	Solution	labplus-azure	East US	BioNuclear Azure CSP	
ContainerInsights(defaultworkspace-2069e7fe-46d8-4938-97ea-71f5a1767405-eus)	Solution	defaultresourcegroup-eus	East US	BioNuclear Azure CSP	
Security(DefaultWorkspace-2069e7fe-46d8-4938-97ea-71f5a1767405-EUS)	Solution	defaultresourcegroup-eus	East US	BioNuclear Azure CSP	
SecurityCenterFree(DefaultWorkspace-2069e7fe-46d8-4938-97ea-71f5a1767405-EUS)	Solution	defaultresourcegroup-eus	East US	BioNuclear Azure CSP	
SecurityCenterFree(Sql-Managed-Instance-Analytics)	Solution	labplus-azure	East US	BioNuclear Azure CSP	
ServiceMap(sql-managed-instance-analytics)	Solution	labplus-azure	East US	BioNuclear Azure CSP	
VMInsights(DefaultWorkspace-2069e7fe-46d8-4938-97ea-71f5a1767405-EUS)	Solution	defaultresourcegroup-eus	East US	BioNuclear Azure CSP	
sqlmanagedlabplusonline	SQL managed instance	labplus-azure	East US	BioNuclear Azure CSP	General Purpose Standard-series (Gen 5) (512 GB, 8 vCores, Geo-redundant backup storage)
zabbixproxy_key	SSH key	labplus-azure	East US	BioNuclear Azure CSP	
backuplbonline	Storage account	labplus-azure	East US	BioNuclear Azure CSP	StorageV2
cursolabplus	Storage account	apisclientes	East US	BioNuclear Azure CSP	StorageV2
k8sfileslabplus	Storage account	labplus-kubernetes	East US	BioNuclear Azure CSP	StorageV2
labplus	Storage account	mlsdev	East US	BioNuclear Azure CSP	StorageV2
labplusazurediag657	Storage account	labplus-azure	East US	BioNuclear Azure CSP	StorageV2
labplusazureperfdiag359	Storage account	labplus-azure	East US	BioNuclear Azure CSP	StorageV2
labplusdataclientes	Storage account	apisclientes	East US	BioNuclear Azure CSP	StorageV2
labplusonlinedata	Storage account	labplus-azure	East US	BioNuclear Azure CSP	StorageV2
labplusproduction	Storage account	mlsdev-production	East US	BioNuclear Azure CSP	StorageV2
labplusreportes	Storage account	labplus-kubernetes	East US	BioNuclear Azure CSP	StorageV2
mlsdevdiag	Storage account	mlsdev	East US	BioNuclear Azure CSP	StorageV2
mlsdevproductiondiag	Storage account	mlsdev-production	East US	BioNuclear Azure CSP	StorageV2
portalfuncstorage	Storage account	portal-pacientes	East US	BioNuclear Azure CSP	StorageV2
portalpacientedesar83df	Storage account	portal_paciente_desarollo	East US	BioNuclear Azure CSP	StorageV2
portalpacientedesaraa5f	Storage account	portal_paciente_desarollo	East US	BioNuclear Azure CSP	StorageV2
prodconfigslabplus	Storage account	labplus-azure	East US	BioNuclear Azure CSP	StorageV2
reportesclientes	Storage account	labplus-azure	East US	BioNuclear Azure CSP	StorageV2
storagebionuclear	Storage account	bionuclear	East US	BioNuclear Azure CSP	StorageV2
teleriklabplus	Storage account	telerik	East US	BioNuclear Azure CSP	StorageV2
Testing	Stream Analytics job	labplus-azure	East US	BioNuclear Azure CSP	Shared
VirtualClusterd9df7157-ab82-4322-9c1b-35c02cc8ac0c	Virtual cluster	labplus-azure	East US	BioNuclear Azure CSP	
CRISTAL-REPORT-1	Virtual machine	labplus-azure	East US	BioNuclear Azure CSP	Standard_E8s_v4
CRISTAL-REPORTS-2	Virtual machine	labplus-azure	East US	BioNuclear Azure CSP	Standard_E2s_v4
LABPLUS	Virtual machine	mlsdev-production	East US	BioNuclear Azure CSP	Standard_B2s
labplus-develop	Virtual machine	mlsdev	East US	BioNuclear Azure CSP	Standard_B2s
labplus-staging	Virtual machine	mlsdev	East US	BioNuclear Azure CSP	Standard_B2s
labplus-uat	Virtual machine	mlsdev	East US	BioNuclear Azure CSP	Standard_B2s
LP-IIS-01	Virtual machine	labplus-azure	East US	BioNuclear Azure CSP	Standard_E2ds_v4
LPDCBSERIE	Virtual machine	labplus-azure	East US	BioNuclear Azure CSP	Standard_B2s
VM-IMAGE-IIS	Virtual machine	bionuclear	East US	BioNuclear Azure CSP	Standard_E2s_v4
VMMongo	Virtual machine	mibioapi_resource	East US	BioNuclear Azure CSP	Standard_B2s
zabbixproxy	Virtual machine	labplus-azure	East US	BioNuclear Azure CSP	Standard_B1ms
ZIMBRA	Virtual machine	labplus-azure	East US	BioNuclear Azure CSP	Standard_B2ms
LabPlus	Virtual network	mlsdev	East US	BioNuclear Azure CSP	
LabPLus-Azure-vnet	Virtual network	labplus-azure	East US	BioNuclear Azure CSP	
labplus-kubernetes-vnet	Virtual network	labplus-kubernetes	East US	BioNuclear Azure CSP	
LabPlus_Mibio_vnet	Virtual network	mibioapi_resource	East US	BioNuclear Azure CSP	
MLSDev-Production-vnet	Virtual network	mlsdev-production	East US	BioNuclear Azure CSP	
Vnet-dev	Virtual network	labplus-azure	East US	BioNuclear Azure CSP	
VnetSQL	Virtual network	labplus-azure	East US	BioNuclear Azure CSP	
LPRouteVpnGateway	Virtual network gateway	labplus-azure	East US	BioNuclear Azure CSP	VpnGw1
